period_id,type_id,contact_id,overridden,comment,editor_id,created_date,leave_amount,brought_forward_amount,public_holiday_amount,overridden_amount
1,1,235,0,NULL,306,2018-02-16 11:24:32,21.00,0.00,0.00,0.00
1,2,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,3,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,4,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,5,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,6,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,7,235,1,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,1.00
1,8,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,9,235,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,1,239,0,NULL,306,2018-02-16 11:24:32,28.00,0.00,0.00,0.00
1,2,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,3,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,4,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,5,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,6,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,7,239,1,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,1.00
1,8,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
2,1,239,0,NULL,306,2018-02-13 19:06:57,28.00,5.00,0.00,0.00
2,2,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,3,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,4,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,5,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,6,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,7,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,8,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
1,9,239,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
2,9,239,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
1,1,240,0,NULL,306,2018-02-16 11:24:32,28.00,0.00,0.00,0.00
1,2,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,3,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,4,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,5,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,6,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,7,240,1,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,1.00
1,8,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
2,1,240,0,NULL,306,2018-02-13 19:06:57,28.00,5.00,0.00,0.00
2,2,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,3,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,4,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,5,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,6,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,7,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,8,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
1,9,240,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
2,9,240,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
1,1,241,0,NULL,306,2018-02-16 11:24:32,28.00,0.00,0.00,0.00
1,2,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,3,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,4,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,5,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,6,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,7,241,1,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,1.00
1,8,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
2,1,241,0,NULL,306,2018-02-13 19:06:57,28.00,5.00,0.00,0.00
2,2,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,3,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,4,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,5,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,6,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,7,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
2,8,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
1,9,241,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
2,9,241,0,NULL,306,2018-02-13 19:06:57,0.00,0.00,0.00,0.00
1,1,242,0,NULL,306,2018-02-16 11:24:32,28.00,0.00,0.00,0.00
1,2,242,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,3,242,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,4,242,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,5,242,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,6,242,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
1,7,242,1,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,1.00
1,8,242,0,NULL,306,2018-02-16 11:24:32,0.00,0.00,0.00,0.00
